1,28,28,28,28,28,28,28,28,28,28,28,28,28,2
28,3,28,28,28,28,28,28,28,28,28,28,28,28,28
28,28,4,28,28,28,28,28,28,28,28,28,28,28,28
26,26,26,5,28,28,28,28,28,28,28,28,28,28,26
28,28,28,28,6,6,28,6,6,6,6,6,6,6,28
28,7,7,28,8,13,28,8,8,8,8,8,8,8,28
28,28,28,28,9,10,28,10,10,10,10,10,10,10,28
11,11,11,11,11,12,11,11,11,11,11,11,11,11,11
28,28,28,28,28,28,14,28,28,28,28,28,28,28,28
28,28,28,28,17,15,28,18,19,19,19,19,19,19,28
28,28,28,28,28,28,16,28,28,28,28,28,28,28,28
28,28,28,28,28,28,28,28,20,21,22,23,24,25,28
29,28,28,28,28,28,28,28,28,28,28,28,28,28,28
28,29,28,28,28,28,28,28,28,28,28,28,28,28,28
28,28,29,28,28,28,28,28,28,28,28,28,28,28,28
28,28,28,29,28,28,28,28,28,28,28,28,28,28,28
28,28,28,28,29,28,28,28,28,28,28,28,28,28,28
28,28,28,28,28,29,28,28,28,28,28,28,28,28,28
28,28,28,28,28,28,29,28,28,28,28,28,28,28,28
28,28,28,28,28,28,28,29,28,28,28,28,28,28,28
28,28,28,28,28,28,28,28,29,28,28,28,28,28,28
28,28,28,28,28,28,28,28,28,29,28,28,28,28,28
28,28,28,28,28,28,28,28,28,28,29,28,28,28,28
28,28,28,28,28,28,28,28,28,28,28,29,28,28,28
28,28,28,28,28,28,28,28,28,28,28,28,29,28,28
28,28,28,28,28,28,28,28,28,28,28,28,28,29,28
28,28,28,28,28,28,28,28,28,28,28,28,28,28,30
